ticket_id,customer_id,ticket_created_at,ticket_channel,ticket_type,ticket_subject,ticket_description,ticket_priority,ticket_status,assigned_agent,first_response_time_minutes,resolution_time_hours,escalated,customer_satisfaction_rating,final_resolution
TICK-000035,CUST-00373,2026-04-23 21:39:00,Email,Delivery Delay,Package is late,My Running Shoes was supposed to be here 2 days ago.,Medium,Resolved,Jamie,133,31.9,FALSE,3,"Escalated to carrier, offered $10 credit."
TICK-000036,CUST-00044,2025-08-09 05:45:00,Social Media,Order Tracking,Where is my Coffee Machine?,I ordered a Coffee Machine and the tracking hasn't updated.,Low,Pending,Jamie,259,,FALSE,,
TICK-000037,CUST-00635,2025-07-15 03:45:00,Social Media,Unknown Issue,Question,Does it work?,Low,Resolved,Sam,202,21.7,FALSE,5,Clarified user question and provided specs.
TICK-000038,CUST-00881,2025-08-31 05:46:00,Chat,Delivery Delay,Package is late,My Mechanical Keyboard was supposed to be here 2 days ago.,High,Resolved,Morgan,4,7.7,FALSE,5,"Escalated to carrier, offered $10 credit."
TICK-000039,CUST-00332,2026-05-04 19:08:00,Chat,Payment Issue & Delivery Delay,Package is late,My Mechanical Keyboard was supposed to be here 2 days ago.,Critical,Open,Pat,4,,FALSE,,
TICK-000040,CUST-00960,2025-10-08 17:07:00,Chat,Wrong Product,Got the wrong item,"I didn't order this, I ordered a Laptop Stand.",High,Open,Casey,4,,FALSE,,
TICK-000041,CUST-00306,2025-06-05 02:44:00,Chat,Account Issue,Can't log in,Password reset not sending.,Low,Open,Jamie,10,,FALSE,,
TICK-000042,CUST-00260,2025-11-07 06:09:00,Phone,Order Tracking,Where is my Mechanical Keyboard?,I ordered a Mechanical Keyboard and the tracking hasn't updated.,Medium,Open,Taylor,10,,FALSE,,
TICK-000043,CUST-00859,2026-02-02 21:04:00,Chat,Order Tracking,Where is my Smart TV?,I ordered a Smart TV and the tracking hasn't updated.,Medium,Resolved,Jamie,13,56.4,FALSE,2,Provided updated tracking link.
TICK-000044,CUST-00850,2026-01-29 10:20:00,Email,Order Tracking,Where is my Gaming Mouse?,I ordered a Gaming Mouse and the tracking hasn't updated.,Medium,Resolved,Morgan,90,36.7,FALSE,4,Provided updated tracking link.
TICK-000045,CUST-00549,2025-09-11 18:07:00,Email,Order Tracking,Where is my Gaming Mouse?,I ordered a Gaming Mouse and the tracking hasn't updated.,Medium,Resolved,Jordan,226,44.0,FALSE,3,Provided updated tracking link.
TICK-000046,CUST-00962,2025-12-18 00:30:00,Email,Product Damage,Gaming Mouse arrived broken,The box was smashed and the item is damaged.,High,Pending,Morgan,174,,TRUE,,
TICK-000047,CUST-00363,2025-12-07 06:30:00,Email,Delivery Delay,Package is late,My Electric Toothbrush was supposed to be here 2 days ago.,Medium,Resolved,Casey,121,70.0,FALSE,1,"Escalated to carrier, offered $10 credit."
TICK-000048,CUST-00591,2025-12-21 12:41:00,Phone,Delivery Delay,Package is late,My Yoga Mat was supposed to be here 2 days ago.,Medium,Resolved,Alex,11,7.6,FALSE,3,"Escalated to carrier, offered $10 credit."
TICK-000049,CUST-00598,2025-10-16 16:12:00,Chat,Delivery Delay,Package is late,My Blender was supposed to be here 2 days ago.,Critical,Escalated,Taylor,13,,TRUE,,
TICK-000050,CUST-00900,2025-07-02 05:03:00,Chat,Delivery Delay,Package is late,My Coffee Machine was supposed to be here 2 days ago.,Medium,Resolved,Alex,9,66.1,FALSE,4,"Escalated to carrier, offered $10 credit."
TICK-000051,CUST-00473,2026-02-26 02:10:00,Email,Order Tracking,Where is my Smart TV?,I ordered a Smart TV and the tracking hasn't updated.,High,Resolved,Jordan,234,22.3,FALSE,5,Provided updated tracking link.
TICK-000052,CUST-00206,2025-06-08 07:14:00,Phone,Payment Issue,Charged twice!,My card was declined but I see a charge.,Medium,Resolved,Alex,5,54.7,FALSE,1,Voided duplicate authorization hold.
TICK-000053,CUST-00817,2025-10-30 06:04:00,Social Media,Account Issue,Can't log in,Password reset not sending.,Medium,Resolved,Alex,178,12.8,FALSE,4,Sent manual reset link via SMS.
TICK-000054,CUST-00127,2025-05-17 05:11:00,Phone,Refund Request,Need refund for Blender,I returned this last week and want my money back.,High,Resolved,Alex,8,2.4,FALSE,4,Refund processed to original payment method.
TICK-000055,CUST-00673,2026-03-12 14:14:00,Phone,Delivery Delay,Package is late,My Mechanical Keyboard was supposed to be here 2 days ago.,High,Resolved,Jordan,7,6.8,TRUE,2,"Escalated to carrier, offered $10 credit."
TICK-000056,CUST-00540,2026-03-30 21:10:00,Social Media,Delivery Delay,Package is late,My Running Shoes was supposed to be here 2 days ago.,Medium,Resolved,Chris,288,39.6,FALSE,5,"Escalated to carrier, offered $10 credit."
TICK-000057,CUST-00804,2026-04-28 21:24:00,Email,General Inquiry,Help with my order,I have a few problems with my recent purchase.,Low,Pending,Taylor,110,,FALSE,,
TICK-000058,CUST-00990,2025-10-30 00:34:00,Email,Payment Issue,Charged twice!,My card was declined but I see a charge.,Medium,Resolved,Morgan,49,8.4,FALSE,3,Voided duplicate authorization hold.
TICK-000059,CUST-00732,2025-08-06 23:10:00,Chat,Wrong Product,Got the wrong item,"I didn't order this, I ordered a Mechanical Keyboard.",High,Resolved,Casey,14,5.2,TRUE,3,Issued return label and shipped correct item.
TICK-000060,CUST-00134,2025-12-28 14:01:00,Chat,Product Damage,Smart TV arrived broken,The box was smashed and the item is damaged.,Medium,Resolved,Sam,11,52.4,FALSE,5,Sent overnight replacement.
TICK-000061,CUST-00523,2025-12-10 03:39:00,Phone,Product Damage,Yoga Mat arrived broken,The box was smashed and the item is damaged.,Critical,Resolved,Morgan,1,1.8,FALSE,2,Sent overnight replacement.
TICK-000062,CUST-00811,2026-04-11 05:35:00,Chat,Wrong Product,Got the wrong item,"I didn't order this, I ordered a Wireless Earbuds.",Medium,Resolved,Jordan,2,55.2,FALSE,1,Issued return label and shipped correct item.
TICK-000063,CUST-00176,2025-06-16 09:11:00,Email,Payment Issue,Charged twice!,My card was declined but I see a charge.,Medium,Resolved,Jamie,271,36.9,FALSE,4,Voided duplicate authorization hold.
TICK-000064,CUST-00637,2026-03-01 10:15:00,Social Media,Product Damage,Wireless Earbuds arrived broken,The box was smashed and the item is damaged.,High,Resolved,Alex,140,14.0,TRUE,2,Sent overnight replacement.
TICK-000065,CUST-00429,2025-09-25 03:38:00,Chat,Delivery Delay,Package is late,My Wireless Earbuds was supposed to be here 2 days ago.,Critical,Resolved,Riley,3,3.0,TRUE,1,"Escalated to carrier, offered $10 credit."
TICK-000066,CUST-00035,2026-04-02 23:38:00,Chat,Wrong Product,Got the wrong item,"I didn't order this, I ordered a Gaming Mouse.",Medium,Resolved,Morgan,8,14.5,FALSE,1,Issued return label and shipped correct item.
TICK-000067,CUST-00304,2025-08-24 11:13:00,Chat,Payment Issue,Charged twice!,My card was declined but I see a charge.,High,Resolved,Alex,3,4.7,FALSE,3,Voided duplicate authorization hold.
TICK-000068,CUST-00190,2025-10-05 01:06:00,Email,Unknown Issue,Question,Does it work?,Low,Resolved,Morgan,34,54.7,FALSE,3,Clarified user question and provided specs.
TICK-000069,CUST-00691,2026-04-24 06:04:00,Chat,Order Tracking,Where is my Blender?,I ordered a Blender and the tracking hasn't updated.,Low,Resolved,Jordan,6,66.6,FALSE,4,Provided updated tracking link.
TICK-000070,CUST-00128,2025-07-24 16:54:00,Social Media,Unknown Issue,Question,Does it work?,Low,Resolved,Pat,288,69.4,FALSE,2,Clarified user question and provided specs.
TICK-000071,CUST-00667,2025-12-25 17:43:00,Chat,Order Tracking & Delivery Delay,Where is my Blender?,I ordered a Blender and the tracking hasn't updated.,Medium,Resolved,Casey,4,48.5,FALSE,3,Provided updated tracking link.
TICK-000072,CUST-00214,2025-06-23 09:20:00,Chat,Order Tracking & Product Damage,Where is my Laptop Stand?,I ordered a Laptop Stand and the tracking hasn't updated.,High,Resolved,Riley,8,16.9,FALSE,4,Provided updated tracking link.
TICK-000073,CUST-00605,2025-08-24 19:54:00,Social Media,Delivery Delay,Package is late,My Running Shoes was supposed to be here 2 days ago.,Medium,Open,Jordan,278,,FALSE,,
TICK-000074,CUST-00069,2025-09-04 07:56:00,Email,Product Damage,Yoga Mat arrived broken,The box was smashed and the item is damaged.,High,Pending,Chris,23,,FALSE,,
TICK-000075,CUST-00636,2025-06-04 02:14:00,Chat,Refund Request,Need refund for Coffee Machine,I returned this last week and want my money back.,Medium,Resolved,Pat,7,71.0,FALSE,1,Refund processed to original payment method.
TICK-000076,CUST-00524,2025-11-03 00:07:00,Email,Product Damage,Smart TV arrived broken,The box was smashed and the item is damaged.,High,Pending,Alex,208,,TRUE,,
TICK-000077,CUST-00772,2025-11-17 16:55:00,Email,Order Tracking,Where is my Electric Toothbrush?,I ordered a Electric Toothbrush and the tracking hasn't updated.,Low,Resolved,Casey,242,33.5,FALSE,5,Provided updated tracking link.
TICK-000078,CUST-00315,2026-01-15 16:42:00,Chat,Product Damage,Electric Toothbrush arrived broken,The box was smashed and the item is damaged.,High,Open,Jordan,2,,FALSE,,
TICK-000079,CUST-00924,2025-08-12 21:09:00,Email,Payment Issue,AGAIN: Charged twice!,My card was declined but I see a charge.,High,Escalated,Taylor,240,,TRUE,,
TICK-000080,CUST-00328,2025-05-18 05:15:00,Email,Payment Issue,Charged twice!,My card was declined but I see a charge.,High,Resolved,Morgan,69,9.9,FALSE,2,Voided duplicate authorization hold.
TICK-000081,CUST-00812,2025-07-01 13:48:00,Email,Order Tracking,Where is my Gaming Mouse?,I ordered a Gaming Mouse and the tracking hasn't updated.,Medium,Resolved,Casey,132,62.8,FALSE,3,Provided updated tracking link.
TICK-000082,CUST-00053,2026-01-20 20:14:00,Email,Product Damage,Blender arrived broken,The box was smashed and the item is damaged.,High,Resolved,Sam,132,12.2,TRUE,5,Sent overnight replacement.
TICK-000083,CUST-00021,2025-07-04 06:59:00,Email,Payment Issue,Charged twice!,My card was declined but I see a charge.,Critical,Resolved,Casey,145,1.8,FALSE,1,Voided duplicate authorization hold.
TICK-000084,CUST-00170,2025-10-28 10:41:00,Email,Refund Request,Need refund for Running Shoes,I returned this last week and want my money back.,Medium,Resolved,Chris,239,12.2,FALSE,3,Refund processed to original payment method.
TICK-000085,CUST-00398,2026-03-23 04:01:00,Phone,Order Tracking,Where is my Coffee Machine?,I ordered a Coffee Machine and the tracking hasn't updated.,Medium,Resolved,Jordan,3,22.1,FALSE,5,Provided updated tracking link.
TICK-000086,CUST-00514,2025-06-09 14:49:00,Chat,General Inquiry,Help with my order,I have a few problems with my recent purchase.,Low,Resolved,Taylor,3,66.9,FALSE,1,Addressed multiple queries.
TICK-000087,CUST-00965,2025-11-13 22:23:00,Chat,Payment Issue,Charged twice!,My card was declined but I see a charge.,High,Pending,Riley,7,,FALSE,,
TICK-000088,CUST-00161,2025-07-29 05:15:00,Chat,Wrong Product,Got the wrong item,"I didn't order this, I ordered a Gaming Mouse.",Medium,Resolved,Alex,3,25.5,FALSE,2,Issued return label and shipped correct item.
TICK-000089,CUST-00178,2025-07-08 05:19:00,Social Media,Refund Request,Need refund for Blender,I returned this last week and want my money back.,High,Resolved,Casey,191,11.5,FALSE,2,Refund processed to original payment method.
TICK-000090,CUST-00056,2025-12-02 02:49:00,Social Media,Account Issue,Can't log in,Password reset not sending.,Medium,Resolved,Alex,281,37.7,FALSE,4,Sent manual reset link via SMS.
TICK-000091,CUST-00728,2026-01-02 19:52:00,Phone,Product Damage,Yoga Mat arrived broken,The box was smashed and the item is damaged.,Critical,Resolved,Jamie,8,2.5,TRUE,1,Sent overnight replacement.
TICK-000092,CUST-00026,2026-01-25 19:58:00,Chat,Order Tracking,Where is my Mechanical Keyboard?,I ordered a Mechanical Keyboard and the tracking hasn't updated.,Low,Pending,Riley,13,,FALSE,,
TICK-000093,CUST-00304,2025-08-21 02:08:00,Email,Order Tracking,AGAIN: Where is my Running Shoes?,I ordered a Running Shoes and the tracking hasn't updated.,Critical,Resolved,Alex,46,0.9,TRUE,2,Provided updated tracking link.
TICK-000094,CUST-00554,2025-10-04 06:04:00,Chat,Delivery Delay,Package is late,My Smart TV was supposed to be here 2 days ago.,High,Resolved,Morgan,12,6.1,TRUE,2,"Escalated to carrier, offered $10 credit."
TICK-000095,CUST-00250,2026-02-15 06:02:00,Social Media,Refund Request,Need refund for Wireless Earbuds,I returned this last week and want my money back.,Medium,Resolved,Alex,69,45.6,FALSE,3,Refund processed to original payment method.
TICK-000096,CUST-00483,2026-01-13 19:17:00,Chat,Product Damage & Payment Issue,Charged twice!,My card was declined but I see a charge.,High,Resolved,Taylor,5,6.2,TRUE,5,Voided duplicate authorization hold.
TICK-000097,CUST-00842,2026-02-23 06:40:00,Phone,Order Tracking,Where is my Gaming Mouse?,I ordered a Gaming Mouse and the tracking hasn't updated.,Low,Resolved,Sam,3,49.8,FALSE,2,Provided updated tracking link.
TICK-000098,CUST-00858,2025-07-07 13:33:00,Chat,Account Issue,Can't log in,Password reset not sending.,Low,Resolved,Casey,3,21.6,FALSE,1,Sent manual reset link via SMS.
TICK-000099,CUST-00873,2026-03-26 20:45:00,Chat,Delivery Delay,Package is late,My Laptop Stand was supposed to be here 2 days ago.,Medium,Resolved,Morgan,10,52.4,FALSE,2,"Escalated to carrier, offered $10 credit."
TICK-000100,CUST-00702,2025-12-29 22:33:00,Phone,Account Issue,Can't log in,Password reset not sending.,Medium,Pending,Riley,11,,FALSE,,
TICK-000101,CUST-00288,2025-11-26 05:35:00,Phone,Account Issue,Can't log in,Password reset not sending.,Medium,Resolved,Sam,3,31.5,FALSE,3,Sent manual reset link via SMS.
TICK-000102,CUST-00047,2025-09-11 10:07:00,Email,Delivery Delay,Package is late,My Blender was supposed to be here 2 days ago.,Medium,Resolved,Morgan,160,47.0,FALSE,4,"Escalated to carrier, offered $10 credit."
TICK-000103,CUST-00193,2025-11-05 05:51:00,Phone,Refund Request & Delivery Delay,Package is late,My Electric Toothbrush was supposed to be here 2 days ago.,Medium,Resolved,Casey,1,23.2,FALSE,5,"Escalated to carrier, offered $10 credit."
TICK-000104,CUST-00724,2025-12-06 02:14:00,Chat,Order Tracking,Where is my Yoga Mat?,I ordered a Yoga Mat and the tracking hasn't updated.,Low,Resolved,Pat,10,36.4,FALSE,5,Provided updated tracking link.
TICK-000105,CUST-00149,2026-01-24 21:16:00,Phone,Product Damage,Smart TV arrived broken,The box was smashed and the item is damaged.,High,Resolved,Pat,6,9.0,FALSE,3,Sent overnight replacement.
TICK-000106,CUST-00901,2025-12-13 08:10:00,Chat,Order Tracking,Where is my Electric Toothbrush?,I ordered a Electric Toothbrush and the tracking hasn't updated.,Medium,Resolved,Pat,12,57.6,FALSE,2,Provided updated tracking link.
TICK-000107,CUST-00793,2026-04-14 03:54:00,Social Media,Wrong Product,Got the wrong item,"I didn't order this, I ordered a Gaming Mouse.",Medium,Resolved,Casey,248,49.2,FALSE,1,Issued return label and shipped correct item.
TICK-000108,CUST-00368,2026-01-04 08:09:00,Email,Refund Request,Need refund for Blender,I returned this last week and want my money back.,Medium,Resolved,Casey,114,43.4,FALSE,3,Refund processed to original payment method.
TICK-000109,CUST-00307,2025-10-10 17:13:00,Email,Order Tracking,Where is my Gaming Mouse?,I ordered a Gaming Mouse and the tracking hasn't updated.,Medium,Resolved,Morgan,69,26.1,FALSE,4,Provided updated tracking link.
TICK-000110,CUST-00675,2025-11-19 12:55:00,Email,Product Damage,Blender arrived broken,The box was smashed and the item is damaged.,Critical,Open,Sam,239,,TRUE,,
TICK-000111,CUST-00058,2026-02-11 08:34:00,Phone,Account Issue,Can't log in,Password reset not sending.,Low,Pending,Alex,2,,FALSE,,
TICK-000112,CUST-00086,2025-07-03 14:01:00,Phone,Refund Request,Need refund for Wireless Earbuds,I returned this last week and want my money back.,Low,Resolved,Casey,3,54.2,FALSE,2,Refund processed to original payment method.
TICK-000113,CUST-00935,2025-06-28 08:24:00,Chat,Payment Issue,Charged twice!,My card was declined but I see a charge.,High,Resolved,Alex,6,17.6,FALSE,3,Voided duplicate authorization hold.
TICK-000114,CUST-00608,2026-03-24 01:05:00,Chat,Product Damage,Yoga Mat arrived broken,The box was smashed and the item is damaged.,Critical,Resolved,Riley,5,0.8,TRUE,1,Sent overnight replacement.
TICK-000115,CUST-00162,2025-08-12 20:27:00,Phone,Delivery Delay,Package is late,My Laptop Stand was supposed to be here 2 days ago.,High,Resolved,Pat,1,8.8,TRUE,4,"Escalated to carrier, offered $10 credit."
TICK-000116,CUST-00026,2026-04-09 15:01:00,Phone,Wrong Product,Got the wrong item,"I didn't order this, I ordered a Running Shoes.",Medium,Resolved,Chris,13,14.5,FALSE,5,Issued return label and shipped correct item.
TICK-000117,CUST-00786,2025-07-09 07:52:00,Phone,General Inquiry,Help with my order,I have a few problems with my recent purchase.,Medium,Resolved,Sam,7,22.1,FALSE,3,Addressed multiple queries.
TICK-000118,CUST-00292,2025-06-20 13:20:00,Chat,Wrong Product,Got the wrong item,"I didn't order this, I ordered a Coffee Machine.",Medium,Resolved,Sam,11,68.4,FALSE,2,Issued return label and shipped correct item.
TICK-000119,CUST-00003,2025-09-24 19:15:00,Chat,Order Tracking,Where is my Smart TV?,I ordered a Smart TV and the tracking hasn't updated.,Low,Resolved,Morgan,12,20.1,FALSE,3,Provided updated tracking link.
TICK-000120,CUST-00955,2026-04-25 05:02:00,Social Media,Wrong Product,Got the wrong item,"I didn't order this, I ordered a Mechanical Keyboard.",Critical,Resolved,Riley,143,1.0,TRUE,1,Issued return label and shipped correct item.
TICK-000121,CUST-00654,2025-09-30 19:53:00,Chat,Account Issue,AGAIN: Can't log in,Password reset not sending.,High,Resolved,Riley,11,17.6,FALSE,4,Sent manual reset link via SMS.
TICK-000122,CUST-00911,2026-03-16 23:25:00,Email,Payment Issue,Charged twice!,My card was declined but I see a charge.,High,Resolved,Alex,300,14.8,FALSE,4,Voided duplicate authorization hold.
TICK-000123,CUST-00600,2025-07-16 05:14:00,Chat,Payment Issue,Charged twice!,My card was declined but I see a charge.,High,Open,Sam,1,,FALSE,,
TICK-000124,CUST-00464,2025-09-09 04:52:00,Email,Refund Request,Need refund for Electric Toothbrush,I returned this last week and want my money back.,High,Resolved,Jamie,256,11.6,FALSE,3,Refund processed to original payment method.
TICK-000125,CUST-00045,2025-09-23 15:05:00,Email,Order Tracking,Where is my Coffee Machine?,I ordered a Coffee Machine and the tracking hasn't updated.,Low,Resolved,Sam,180,47.2,FALSE,5,Provided updated tracking link.
TICK-000126,CUST-00712,2025-07-06 09:27:00,Chat,Payment Issue,AGAIN: Charged twice!,My card was declined but I see a charge.,High,Resolved,Morgan,3,12.3,FALSE,3,Voided duplicate authorization hold.
TICK-000127,CUST-00816,2026-02-06 00:30:00,Email,Order Tracking,Where is my Electric Toothbrush?,I ordered a Electric Toothbrush and the tracking hasn't updated.,Low,Resolved,Casey,74,43.6,FALSE,4,Provided updated tracking link.
TICK-000128,CUST-00737,2025-12-06 17:40:00,Chat,Refund Request,Need refund for Electric Toothbrush,I returned this last week and want my money back.,High,Resolved,Jamie,11,8.4,FALSE,1,Refund processed to original payment method.
TICK-000129,CUST-00572,2025-08-22 04:42:00,Email,Product Damage,Smart TV arrived broken,The box was smashed and the item is damaged.,Critical,Escalated,Pat,182,,TRUE,,
TICK-000130,CUST-00156,2025-11-08 17:18:00,Chat,Delivery Delay,Package is late,My Running Shoes was supposed to be here 2 days ago.,Medium,Resolved,Jordan,9,48.4,FALSE,1,"Escalated to carrier, offered $10 credit."
TICK-000131,CUST-00423,2025-06-04 15:35:00,Phone,Order Tracking,Where is my Gaming Mouse?,I ordered a Gaming Mouse and the tracking hasn't updated.,Medium,Resolved,Chris,10,46.4,FALSE,1,Provided updated tracking link.
TICK-000132,CUST-00946,2025-05-18 18:45:00,Email,Unknown Issue,Question,Does it work?,Low,Resolved,Pat,66,71.6,FALSE,2,Clarified user question and provided specs.
TICK-000133,CUST-00542,2025-11-30 14:41:00,Email,Order Tracking,Where is my Yoga Mat?,I ordered a Yoga Mat and the tracking hasn't updated.,Low,Open,Jordan,238,,FALSE,,
TICK-000134,CUST-00999,2025-06-19 09:37:00,Social Media,Order Tracking,Where is my Yoga Mat?,I ordered a Yoga Mat and the tracking hasn't updated.,Low,Resolved,Pat,222,56.7,FALSE,3,Provided updated tracking link.
TICK-000135,CUST-00303,2026-02-02 08:14:00,Email,Wrong Product,Got the wrong item,"I didn't order this, I ordered a Gaming Mouse.",High,Resolved,Pat,53,18.2,FALSE,5,Issued return label and shipped correct item.
TICK-000136,CUST-00444,2025-09-05 21:32:00,Chat,Order Tracking,Where is my Wireless Earbuds?,I ordered a Wireless Earbuds and the tracking hasn't updated.,Medium,Resolved,Alex,13,2.9,FALSE,4,Provided updated tracking link.
TICK-000137,CUST-00038,2025-12-16 06:15:00,Email,General Inquiry,Help with my order,I have a few problems with my recent purchase.,Low,Open,Morgan,176,,FALSE,,
